"symbol","code","name","date"
"sh688728","688728","格科微","20250324"   
"sh688733","688733","壹石通","20250324"   
"sh688737","688737","中自科技","20250324" 
"sh688739","688739","成大生物","20250324" 
"sh688750","688750","金天钛业","20250324" 
"sh688758","688758","赛分科技","20250324" 
"sh688766","688766","普冉股份","20250324" 
"sh688767","688767","博拓生物","20250324" 
"sh688768","688768","容知日新","20250324" 
"sh688772","688772","珠海冠宇","20250324" 
"sh688776","688776","国光电气","20250324" 
"sh688777","688777","中控技术","20250324" 
"sh688778","688778","厦钨新能","20250324" 
"sh688779","688779","五矿新能","20250324" 
"sh688786","688786","悦安新材","20250324" 
"sh688787","688787","海天瑞声","20250324" 
"sh688788","688788","科思科技","20250324" 
"sh688789","688789","宏华数科","20250324" 
"sh688793","688793","倍轻松","20250324"   
"sh688798","688798","艾为电子","20250324" 
"sh688799","688799","华纳药厂","20250324" 
"sh688800","688800","瑞可达","20250324"   
"sh688819","688819","天能股份","20250324" 
"sh688981","688981","中芯国际","20250324" 
"sh689009","689009","九号公司","20250324" 
"sz300001","300001","特锐德","20250324"   
"sz300002","300002","神州泰岳","20250324" 
"sz300003","300003","乐普医疗","20250324" 
"sz300004","300004","南风股份","20250324" 
"sz300005","300005","探路者","20250324"   
"sz300006","300006","莱美药业","20250324" 
"sz300007","300007","汉威科技","20250324" 
"sz300008","300008","天海防务","20250324" 
"sz300009","300009","安科生物","20250324" 
"sz300010","300010","豆神教育","20250324" 
"sz300011","300011","鼎汉技术","20250324" 
"sz300012","300012","华测检测","20250324" 
"sz300013","300013","*ST新宁","20250324"  
"sz300014","300014","亿纬锂能","20250324" 
"sz300015","300015","爱尔眼科","20250324" 
"sz300016","300016","北陆药业","20250324" 
"sz300017","300017","网宿科技","20250324" 
"sz300018","300018","中元股份","20250324" 
"sz300019","300019","硅宝科技","20250324" 
"sz300020","300020","*ST银江","20250324"  
"sz300021","300021","大禹节水","20250324" 
"sz300022","300022","吉峰科技","20250324" 
"sz300024","300024","机器人","20250324"   
"sz300025","300025","华星创业","20250324" 
"sz300026","300026","红日药业","20250324" 
"sz300027","300027","华谊兄弟","20250324" 
"sz300029","300029","ST天龙","20250324"   
"sz300030","300030","阳普医疗","20250324" 
"sz300031","300031","宝通科技","20250324" 
"sz300032","300032","金龙机电","20250324" 
"sz300033","300033","同花顺","20250324"   
"sz300034","300034","钢研高纳","20250324" 
"sz300035","300035","中科电气","20250324" 
"sz300036","300036","超图软件","20250324" 
"sz300037","300037","新宙邦","20250324"   
"sz300039","300039","上海凯宝","20250324" 
"sz300040","300040","九洲集团","20250324" 
"sz300041","300041","回天新材","20250324" 
"sz300042","300042","朗科科技","20250324" 
"sz300043","300043","星辉娱乐","20250324" 
"sz300044","300044","赛为智能","20250324" 
"sz300045","300045","华力创通","20250324" 
"sz300046","300046","台基股份","20250324" 
"sz300047","300047","天源迪科","20250324" 
"sz300048","300048","合康新能","20250324" 
"sz300049","300049","福瑞股份","20250324" 
"sz300050","300050","世纪鼎利","20250324" 
"sz300051","300051","琏升科技","20250324" 
"sz300052","300052","ST中青宝","20250324" 
"sz300053","300053","航宇微","20250324"   
"sz300054","300054","鼎龙股份","20250324" 
"sz300055","300055","万邦达","20250324"   
"sz300056","300056","中创环保","20250324" 
"sz300057","300057","万顺新材","20250324" 
"sz300058","300058","蓝色光标","20250324" 
"sz300059","300059","东方财富","20250324" 
"sz300061","300061","旗天科技","20250324" 
"sz300062","300062","中能电气","20250324" 
"sz300063","300063","天龙集团","20250324" 
"sz300065","300065","海兰信","20250324"   
"sz300066","300066","三川智慧","20250324" 
"sz300067","300067","安诺其","20250324"   
"sz300068","300068","南都电源","20250324" 
"sz300069","300069","金利华电","20250324" 
"sz300070","300070","碧水源","20250324"   
"sz300071","300071","福石控股","20250324" 
"sz300072","300072","海新能科","20250324" 
"sz300073","300073","当升科技","20250324" 
"sz300074","300074","华平股份","20250324" 
"sz300075","300075","数字政通","20250324" 
"sz300076","300076","GQY视讯","20250324"  
"sz300077","300077","国民技术","20250324" 
"sz300078","300078","思创医惠","20250324" 
"sz300079","300079","数码视讯","20250324" 
"sz300080","300080","易成新能","20250324" 
"sz300081","300081","恒信东方","20250324" 
"sz300082","300082","奥克股份","20250324" 
"sz300083","300083","创世纪","20250324"   
"sz300084","300084","海默科技","20250324" 
"sz300085","300085","银之杰","20250324"   
"sz300086","300086","康芝药业","20250324" 
"sz300087","300087","荃银高科","20250324" 
